id,season,city,date,team1,team2,toss_winner,toss_decision,result,dl_applied,winner,win_by_runs,win_by_wickets,player_of_match,venue,umpire1,umpire2,umpire3,toss_winner_is_winner,team1_encoded,team2_encoded,toss_winner_encoded,winner_encoded,venue_encoded,toss_decision_encoded
428,2014,Ahmedabad,2014-05-08,Sunrisers Hyderabad,Rajasthan Royals,Rajasthan Royals,field,normal,0,Sunrisers Hyderabad,32,0,B Kumar,"Sardar Patel Stadium, Motera",AK Chaudhary,NJ Llong,,0,11,8,8,11,24,1
429,2014,Bangalore,2014-05-09,Punjab Kings,Royal Challengers Bangalore,Royal Challengers Bangalore,field,normal,0,Punjab Kings,32,0,Sandeep Sharma,M Chinnaswamy Stadium,S Ravi,K Srinath,,0,7,10,10,7,14,1
430,2014,Delhi,2014-05-10,Delhi Capitals,Sunrisers Hyderabad,Sunrisers Hyderabad,field,normal,1,Sunrisers Hyderabad,0,8,DW Steyn,Feroz Shah Kotla,RM Deshpande,BNJ Oxenford,,1,1,11,11,11,8,1
431,2014,Mumbai,2014-05-10,Mumbai Indians,Chennai Super Kings,Chennai Super Kings,field,normal,0,Chennai Super Kings,0,4,DR Smith,Wankhede Stadium,HDPK Dharmasena,VA Kulkarni,,1,5,0,0,0,34,1
432,2014,Cuttack,2014-05-11,Punjab Kings,Kolkata Knight Riders,Kolkata Knight Riders,field,normal,0,Kolkata Knight Riders,0,9,G Gambhir,Barabati Stadium,NJ Llong,CK Nandan,,1,7,4,4,4,0,1
433,2014,Bangalore,2014-05-11,Royal Challengers Bangalore,Rajasthan Royals,Royal Challengers Bangalore,bat,normal,0,Rajasthan Royals,0,5,JP Faulkner,M Chinnaswamy Stadium,S Ravi,RJ Tucker,,0,10,8,10,8,14,0
434,2014,Hyderabad,2014-05-12,Sunrisers Hyderabad,Mumbai Indians,Sunrisers Hyderabad,bat,normal,0,Mumbai Indians,0,7,AT Rayudu,"Rajiv Gandhi International Stadium, Uppal",HDPK Dharmasena,VA Kulkarni,,0,11,5,11,5,23,0
435,2014,Ranchi,2014-05-13,Rajasthan Royals,Chennai Super Kings,Rajasthan Royals,bat,normal,0,Chennai Super Kings,0,5,RA Jadeja,JSCA International Stadium Complex,BNJ Oxenford,C Shamshuddin,,0,8,0,8,0,12,0
436,2014,Bangalore,2014-05-13,Royal Challengers Bangalore,Delhi Capitals,Delhi Capitals,field,normal,0,Royal Challengers Bangalore,16,0,Yuvraj Singh,M Chinnaswamy Stadium,K Srinath,RJ Tucker,,0,10,1,1,10,14,1
437,2014,Hyderabad,2014-05-14,Sunrisers Hyderabad,Punjab Kings,Punjab Kings,field,normal,0,Punjab Kings,0,6,WP Saha,"Rajiv Gandhi International Stadium, Uppal",VA Kulkarni,PG Pathak,,1,11,7,7,7,23,1
438,2014,Cuttack,2014-05-14,Mumbai Indians,Kolkata Knight Riders,Kolkata Knight Riders,field,normal,0,Kolkata Knight Riders,0,6,RV Uthappa,Barabati Stadium,AK Chaudhary,NJ Llong,,1,5,4,4,4,0,1
439,2014,Ahmedabad,2014-05-15,Rajasthan Royals,Delhi Capitals,Delhi Capitals,field,normal,0,Rajasthan Royals,62,0,AM Rahane,"Sardar Patel Stadium, Motera",S Ravi,RJ Tucker,,0,8,1,1,8,24,1
440,2014,Ranchi,2014-05-18,Chennai Super Kings,Royal Challengers Bangalore,Chennai Super Kings,bat,normal,0,Royal Challengers Bangalore,0,5,AB de Villiers,JSCA International Stadium Complex,BNJ Oxenford,C Shamshuddin,,0,0,10,0,10,12,0
441,2014,Hyderabad,2014-05-18,Sunrisers Hyderabad,Kolkata Knight Riders,Sunrisers Hyderabad,bat,normal,0,Kolkata Knight Riders,0,7,UT Yadav,"Rajiv Gandhi International Stadium, Uppal",NJ Llong,CK Nandan,,0,11,4,11,4,23,0
442,2014,Ahmedabad,2014-05-19,Mumbai Indians,Rajasthan Royals,Mumbai Indians,bat,normal,0,Mumbai Indians,25,0,MEK Hussey,"Sardar Patel Stadium, Motera",S Ravi,RJ Tucker,,1,5,8,5,5,24,0
